epoch,FroSSL,BYOL,SimCLR,DCL,MoCo,NNCLR,BarlowTwins,SimSiam
76,78.5200,77.2400,73.7300,75.3500,75.6900,70.8400,73.0500,67.2700
77,78.1600,77.8100,74.9800,75.5500,76.1800,71.4200,73.7000,67.5000
78,78.0800,77.5900,74.3800,75.7200,75.8100,69.8500,73.4100,66.4700
79,78.1000,78.5000,73.7800,75.7600,76.1500,70.5100,73.5300,67.5000
80,78.1900,78.1100,74.2000,75.8300,76.4600,70.6900,73.3800,66.9700
81,79.0300,77.7700,74.1400,75.7500,76.4600,71.5300,73.3800,67.2300
82,78.8700,77.8900,74.7600,75.8300,76.4600,71.4800,73.2600,66.8400
83,79.7800,78.3000,74.2900,75.6700,76.4500,71.6700,73.5000,67.4300
84,79.4400,78.6800,73.7900,76.1200,76.9800,70.9900,74.7000,68.2700
85,79.5600,78.2500,74.5700,76.0400,76.3300,72.4600,74.3400,67.8800
86,79.1300,79.4600,74.3000,75.4800,77.2500,72.0300,74.4000,68.8700
87,78.7100,78.4500,75.3900,76.0000,77.0400,71.7200,73.4000,68.9300
88,79.2300,78.4500,75.0600,77.1700,76.9900,72.4400,74.0300,69.5300
89,79.5400,78.3400,74.5800,76.5000,77.4700,71.1900,74.8700,69.3500
90,78.7500,78.6700,75.2100,76.8000,76.8900,72.4600,75.6300,69.8000
91,79.4700,78.6100,75.2900,76.5500,77.2000,72.3500,74.7800,70.0500
92,79.5600,79.2200,74.9400,77.1200,77.4100,72.2900,73.7400,70.6300
93,80.1900,78.9400,75.5400,75.8800,78.1200,72.6400,75.4600,70.5500
94,79.9700,79.5000,74.9400,76.3000,77.9100,72.5200,74.6900,71.3600
95,80.2400,79.7100,74.4000,76.1900,77.9100,73.5000,75.1300,71.4200
96,79.8000,80.5700,76.0700,76.2400,77.8600,72.6500,76.0100,71.9400
97,79.9500,79.8800,75.8000,76.6600,78.3300,72.2600,75.0900,71.5400
98,80.4300,79.3800,75.5500,77.0800,77.6800,72.4700,75.0800,71.6600
99,80.8100,79.3200,76.3500,77.5300,78.1700,73.2700,75.6500,72.1000
100,79.6600,79.5800,75.5200,77.1100,77.5700,73.2700,75.7000,72.0800
101,80.7500,79.8000,76.4600,77.7500,78.8800,73.9600,75.6500,72.2500
102,80.7300,80.1900,76.5400,76.8900,78.8500,73.2500,76.1900,72.8700
103,81.2300,80.3900,75.2800,77.2800,78.6900,73.9000,75.9000,73.1400
104,80.9700,80.5900,76.6100,77.0600,78.0500,74.1600,76.0300,73.6600
105,80.7600,80.7800,76.7900,77.3000,78.5700,74.4000,76.7500,73.5500
106,81.3200,80.9800,76.8200,77.6000,78.5600,73.9500,76.1600,74.4100
107,81.6400,81.1600,76.0400,77.7800,78.9300,73.9500,76.1400,73.6900
108,81.5100,81.5100,76.6800,77.4700,79.3000,74.0300,76.8300,74.2100
109,80.9600,80.8500,77.0000,78.1500,79.3000,74.0400,76.3700,72.9600
110,81.2700,81.4200,76.6000,78.4200,78.5300,73.9100,77.4200,73.5200
111,80.9400,81.2600,76.3800,77.7600,79.4700,74.2400,77.2500,74.0200
112,81.2500,81.3800,77.1900,78.2400,79.5700,74.6700,77.2500,74.0900
113,81.3300,81.6200,77.2900,77.8600,79.0600,75.3100,76.9900,74.5600
114,81.7400,81.9400,78.1100,78.2300,79.7700,75.7100,76.7900,74.6100
115,81.6500,81.4800,77.3300,78.7700,79.4900,75.5100,77.2900,75.2900
116,82.0300,80.4600,77.3900,78.4900,79.7600,75.9400,78.2300,74.9400
117,82.1600,81.3200,78.4900,78.2600,79.4700,75.2100,78.1700,75.1200
118,81.9200,81.2100,77.5300,78.1700,79.4000,74.8700,77.7700,75.2600
119,82.6400,81.7000,77.7200,78.7900,79.9600,75.6800,78.0300,75.5800
120,81.6500,82.3100,78.0100,78.5900,79.7000,75.7400,77.3400,76.1100
121,82.1900,81.9600,77.8200,79.7600,79.9100,75.8600,78.3800,76.1400
122,81.6800,82.3900,77.8400,79.6600,80.0900,74.7900,77.7300,75.4900
123,82.4700,81.6700,77.8600,79.3200,80.0400,76.3500,77.9300,76.0300
124,82.6700,82.0600,78.4600,79.2500,80.1000,76.0900,78.8500,76.5100
125,82.6900,82.3400,77.9400,79.3400,80.3900,75.7000,78.7000,76.5400
126,82.2500,82.3700,78.8300,80.0100,80.6500,76.2900,78.7600,76.9200
127,82.3500,82.2500,78.8200,79.3600,79.4700,76.6700,77.8100,76.0500
128,82.8200,82.5100,78.4200,79.3400,80.6600,76.5300,78.7100,76.9400
129,82.4000,82.3300,79.0100,79.3400,79.9300,76.9200,78.5100,76.9700
130,82.6000,82.3600,78.8300,79.6800,80.7400,77.2000,78.6900,77.1800
131,82.5700,82.7100,79.4800,80.4100,80.7400,76.2600,78.6400,77.2100
132,83.2200,82.8900,79.3600,80.9300,80.7700,77.4600,78.9100,77.7100
133,83.0100,82.8700,79.0000,79.7600,81.4400,77.4700,78.8000,77.3000
134,82.5800,83.2400,78.0900,80.0900,81.2100,77.2300,78.5900,78.0200
135,83.4800,84.0000,79.7600,80.1800,81.3100,77.9500,79.9200,77.6500
136,83.2600,83.3900,79.4900,80.5600,81.2000,77.1700,79.7000,78.0200
137,83.0500,83.4200,78.7000,80.2800,81.1800,77.6500,79.8300,78.0800
138,83.5500,83.5600,78.9700,80.7400,81.1300,77.9000,79.3300,77.9700
139,83.6300,83.8500,78.8700,80.5800,81.5300,77.7600,79.7600,77.8600
140,83.4900,82.9400,79.2700,80.0500,81.6700,78.1200,79.7000,77.7700
141,83.6000,83.6000,79.6000,81.2600,81.0800,77.9300,79.9500,78.2800
142,83.1300,83.8900,79.9000,81.1800,81.4300,78.3200,79.8900,78.4700
143,83.2500,84.0000,80.7300,81.0600,81.7100,78.4400,79.7800,78.8000
144,83.8500,84.0100,80.3800,81.0700,81.9100,78.5400,80.2500,78.6400
145,84.5700,84.0400,79.8900,81.5900,81.8700,78.8900,80.3300,79.0200
146,84.1100,83.5600,80.7800,81.5300,82.2500,78.7900,80.4200,79.0900
147,84.4900,83.9900,80.6200,81.2700,82.2400,78.7800,80.4600,79.0000
148,84.0100,84.0900,80.3900,81.2300,82.3200,79.0300,80.7000,79.2100
149,84.0200,84.6400,80.8100,81.0000,82.5300,79.2900,80.5600,79.1700
150,84.6400,84.2400,80.7100,82.3000,82.3900,79.7200,81.1600,79.6400
151,84.9000,84.2500,81.1000,82.1400,82.8800,79.7900,81.0400,79.6500
152,84.7600,84.3800,81.2700,81.7500,82.0400,79.1800,81.3500,79.4400
153,84.3800,84.3700,81.3100,81.7400,82.3400,79.4300,81.0600,79.6900
154,84.4100,84.5500,80.9400,81.9700,82.6100,79.8100,81.4600,80.0100
155,84.8800,85.0800,81.5500,82.7600,82.5300,80.1800,81.4200,79.6200
